text,selected_text,sentiment,textID
" I`d have responded, if I were going","I`d have responded, if I were going",neutral,0
 Sooo SAD I will miss you here in San Diego!!!,Sooo SAD,negative,1
my boss is bullying me...,bullying me,negative,2
 what interview! leave me alone,leave me alone,negative,3
" Sons of ****, why couldn`t they put them on the releases we already bought","Sons of ****,",negative,4
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral,5
2am feedings for the baby are fun when he is all smiles and coos,fun,positive,6
Soooo high,Soooo high,neutral,7
 Both of you,Both of you,neutral,8
 Journey!? Wow... u just became cooler.  hehe... (is that possible!?),Wow... u just became cooler.,positive,9
" as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff","as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral,10
I really really like the song Love Story by Taylor Swift,like,positive,11
My Sharpie is running DANGERously low on ink,DANGERously,negative,12
i want to go to music tonight but i lost my voice.,lost,negative,13
test test from the LG enV2,test test from the LG enV2,neutral,14
"Uh oh, I am sunburned","Uh oh, I am sunburned",negative,15
" S`ok, trying to plot alternatives as we speak *sigh*",*sigh*,negative,16
"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",sick,negative,17
is back home now      gonna miss every one,onna,negative,18
Hes just not that into you,Hes just not that into you,neutral,19
" oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3","oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",neutral,20
Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,interesting.,positive,21
is cleaning the house for her family who is comming later today..,is cleaning the house for her family who is comming later today..,neutral,22
gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral,23
SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral,24
"the free fillin` app on my ipod is fun, im addicted","the free fillin` app on my ipod is fun, im addicted",positive,25
  I`m sorry.,I`m sorry.,negative,26
On the way to Malaysia...no internet access to Twit,.no internet,negative,27
juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,fun,positive,28
Went to sleep and there is a power cut in Noida  Power back up not working too,Power back up not working too,negative,29
I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,Quite....heavenly,positive,30
i hope unni will make the audition . fighting dahye unni !,hope,positive,31
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,well so much for being unhappy for about 10 minute,negative,32
 That`s very funny.  Cute kids.,funny.,positive,33
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.","Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral,34
"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4","Thats it, its the end. Tears for Fears",neutral,35
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,miss,negative,36
